FID,CATEGORY,IFT_IOA,COUNTRY,Area_Ha,Shape__Are,Shape__Len
95470,Woodland,Broadleaved,England,80.777542190000005,807775.421901702880859,10503.084885509691958
95536,Woodland,Broadleaved,England,235.980693664999990,2359806.936580657958984,34890.549766979238484
95539,Woodland,Broadleaved,England,53.763370755099999,537633.707496643066406,11091.506336219714285
95671,Woodland,Broadleaved,England,101.015605352999998,1010156.053508758544922,13739.361317186901942
95961,Woodland,Broadleaved,England,140.192819606000000,1401928.195953368907794,25052.477817283848708
96213,Woodland,Broadleaved,England,50.486956248600002,504869.562541961669922,9894.900256665398047
96458,Woodland,Broadleaved,England,55.146087167899999,551460.871608734130859,11932.399764138894170
96595,Woodland,Broadleaved,England,95.467715775800002,954677.157703399658203,8894.243435685275472
96757,Woodland,Broadleaved,England,71.630274613099999,716302.746055603027344,17293.261457449512818
96859,Woodland,Broadleaved,England,58.999966065800002,589999.660575866699219,9603.954983218551206
97016,Woodland,Broadleaved,England,442.785114040999986,4427851.140377044677734,48730.963318908827205
97420,Woodland,Broadleaved,England,50.696298082600002,506962.980667114257812,9016.639325727039250
97467,Woodland,Broadleaved,England,106.424228925999998,1064242.289249420166016,12529.688537520749378
97468,Woodland,Broadleaved,England,59.372331280600001,593723.312747955322266,9207.704653215156213
97507,Woodland,Broadleaved,England,305.590205163000007,3055902.051513671875000,21156.575890808202530
97562,Woodland,Broadleaved,England,71.160902711399999,711609.027172088623047,13744.910878565671737
97569,Woodland,Broadleaved,England,170.363732867000010,1703637.328678131103516,20148.236611081392766
97577,Woodland,Broadleaved,England,198.442441013000007,1984424.410137176513672,17763.667722473848698
97766,Woodland,Broadleaved,England,101.517546136999997,1015175.461330413818359,8574.457098915218012
97775,Woodland,Broadleaved,England,146.043719935000013,1460437.199348449707031,15930.062335565944522
97778,Woodland,Broadleaved,England,102.188130954000002,1021881.309520721435547,15261.340709741454702
97810,Woodland,Broadleaved,England,92.921110850199995,929211.108478546026163,14088.058555761886964
97849,Woodland,Broadleaved,England,59.740953302400001,597409.533061981201172,8884.841653903196857
97854,Woodland,Broadleaved,England,65.761965821600000,657619.658103942754678,9719.002134832970114
97869,Woodland,Broadleaved,England,90.111995759099997,901119.957492828369141,13501.313102837402766
97878,Woodland,Broadleaved,England,167.516612376000012,1675166.123771667480469,18259.226078791249165
97902,Woodland,Broadleaved,England,322.816301887999998,3228163.018814086914062,35136.729010159142490
98233,Woodland,Broadleaved,England,84.599279647000003,845992.796531677246094,7995.532659083134604
98249,Woodland,Broadleaved,England,71.078323772299996,710783.237686157226562,13628.461611999218803
98276,Woodland,Broadleaved,England,50.124797041199997,501247.970409393310547,10592.749233591768643
98410,Woodland,Broadleaved,England,75.337457518199997,753374.575237274169922,11249.776827814655917
98463,Woodland,Broadleaved,England,95.200216075599997,952002.160751342773438,15515.708502111585403
98468,Woodland,Broadleaved,England,57.375745268000003,573757.452716827392578,10130.426896781573305
98479,Woodland,Broadleaved,England,159.688505886000002,1596885.058773040771484,27820.923740698912297
98682,Woodland,Broadleaved,England,145.175395197000000,1451753.952060699462891,13742.753534909979862
98761,Woodland,Broadleaved,England,177.666352726000014,1776663.527126312255859,24378.007119325367967
98834,Woodland,Broadleaved,England,169.586885913999993,1695868.859184265136719,18775.974687814632489
98889,Woodland,Broadleaved,England,87.278011145500002,872780.111324310302734,17355.256462179542723
99061,Woodland,Broadleaved,England,52.034610598400000,520346.106006622314453,7640.938732135648024
99110,Woodland,Broadleaved,England,77.032244314200000,770322.443176269531250,10710.998032950468769
99119,Woodland,Broadleaved,England,55.248608474599997,552486.084938049316406,12379.176394094210991
99123,Woodland,Broadleaved,England,54.923059740799999,549230.597423553466797,7414.459619692929664
99146,Woodland,Broadleaved,England,95.884516540999996,958845.165306091308594,8674.790480785697582
99223,Woodland,Broadleaved,England,122.571052275000000,1225710.522624969482422,16118.132078669565090
99272,Woodland,Broadleaved,England,67.294538972599995,672945.389636993408203,11395.472197035456702
99291,Woodland,Broadleaved,England,62.103523122699997,621035.231197357177734,8632.950712512256359
99303,Woodland,Broadleaved,England,181.441101467999999,1814411.014656066894531,17520.492140644491883
99405,Woodland,Broadleaved,England,55.122526506200003,551225.264957427978516,12386.624477022023711
99440,Woodland,Broadleaved,England,94.428410361000005,944284.103622436639853,15339.448841258839821
99755,Woodland,Broadleaved,England,58.209890634200001,582098.906120300292969,12753.001227546885275
99925,Woodland,Broadleaved,England,249.282426027000014,2492824.259933471679688,26883.042042964145367
100034,Woodland,Broadleaved,England,56.278611023300002,562786.110328674316406,10213.993482582225624
100066,Woodland,Broadleaved,England,154.978970274000005,1549789.702987670898438,21042.467191757008550
100088,Woodland,Broadleaved,England,169.423121626000011,1694231.216529846191406,19553.521525731684960
100089,Woodland,Broadleaved,England,56.746834069300000,567468.340690612792969,6221.227736756756713
100117,Woodland,Broadleaved,England,97.188578510599996,971885.785095214843750,18406.636486560604681
100147,Woodland,Broadleaved,England,54.029202685999998,540292.026947021484375,6256.723262287196121
100229,Woodland,Broadleaved,England,84.636003022599994,846360.030265808105469,10051.306589293082652
100237,Woodland,Broadleaved,England,81.547294507800004,815472.945114135742188,13899.382081178577209
100268,Woodland,Broadleaved,England,57.270143773599997,572701.437553405761719,9232.566389765819622
100283,Woodland,Broadleaved,England,79.715260507799997,797152.605163574218750,5751.654679294140806
100314,Woodland,Broadleaved,England,196.796306836000014,1967963.068389892578125,16187.858603840240903
100321,Woodland,Broadleaved,England,95.281952858500006,952819.528793334960938,16160.092202193211051
100322,Woodland,Broadleaved,England,112.991078770000001,1129910.787620544433594,11634.398900723199404
100379,Woodland,Broadleaved,England,62.290089792600000,622900.897872924804688,7966.213259072683286
100476,Woodland,Broadleaved,England,80.835398319999996,808353.983215331914835,6054.149309642408298
100492,Woodland,Broadleaved,England,437.283453172999998,4372834.531562805175781,56867.790670169226360
100524,Woodland,Broadleaved,England,92.116815577500006,921168.155609130859375,21432.167295399620343
100534,Woodland,Broadleaved,England,262.186988525999993,2621869.885498046875000,40583.722983244886564
100590,Woodland,Broadleaved,England,89.536134204600003,895361.342063903808594,12191.155352680030774
100604,Woodland,Broadleaved,England,225.330123124000011,2253301.231040954589844,32252.345519126945874
100674,Woodland,Broadleaved,England,54.571324610900000,545713.246047973632812,8084.502353321583541
100839,Woodland,Broadleaved,England,63.888601610800002,638886.016151428222656,11927.132318992740693
100888,Woodland,Broadleaved,England,51.300031895300002,513000.318862915039062,11930.077152442179795
100937,Woodland,Broadleaved,England,73.611307833300003,736113.078201293945312,12266.656844030747379
100973,Woodland,Broadleaved,England,92.964507567699997,929645.075744628906250,14459.999899907543295
101382,Woodland,Broadleaved,England,85.385322081100000,853853.220947265625000,11878.641079338221971
101409,Woodland,Broadleaved,England,53.848117356700001,538481.173431396484375,6297.451358661110135
101530,Woodland,Broadleaved,England,73.986723713100005,739867.237243652460165,12002.462645586098006
101808,Woodland,Broadleaved,England,62.924697602800002,629246.976005554199219,12048.083844117896660
101841,Woodland,Broadleaved,England,53.648491394200001,536484.913909912109375,8612.488481725999009
101898,Woodland,Broadleaved,England,51.309216270500002,513092.162597656250000,3492.175917916794333
101958,Woodland,Broadleaved,England,116.324798561999998,1163247.985374450683594,13795.619034546331022
102138,Woodland,Broadleaved,England,61.108611937100001,611086.119392395019531,15958.928376947700599
